metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
patroni.cluster.unlocked,gauge,,,,Indicates if the cluster is unlocked (1 for unlocked, 0 for locked),0,patroni,,
patroni.dcs.last_seen,gauge,,,,Timestamp of the last communication with the Distributed Configuration Store (DCS),0,patroni,,
patroni.dcs_last_seen_diff,gauge,,,,Time difference in seconds since the last DCS communication,0,patroni,,
patroni.failsafe_mode.active,gauge,,,,Indicates whether failsafe mode is active (1 for active, 0 for inactive),0,patroni,,
patroni.is_paused,gauge,,,,Indicates if the cluster is paused (1 for paused, 0 for active),0,patroni,,
patroni.pending_restart,gauge,,,,Indicates whether a restart is pending (1 for pending, 0 for no pending restart),0,patroni,,
patroni.postgres.archive_recovery,gauge,,,,Indicates whether PostgreSQL is in archive recovery mode (1 for active, 0 for inactive),0,patroni,,
patroni.postgres.running,gauge,,,,Indicates whether the PostgreSQL instance is running (1 for running, 0 for stopped),0,patroni,,
patroni.postgres.server_version,gauge,,,,PostgreSQL server version (numeric representation, e.g., 160004 for version 16.0.4),0,patroni,,
patroni.postgres.start_time,gauge,,,,Timestamp of when the PostgreSQL instance started,0,patroni,,
patroni.postgres.streaming,gauge,,,,Indicates whether PostgreSQL is in streaming mode (1 for streaming, 0 otherwise),0,patroni,,
patroni.primary,gauge,,,,Indicates whether the instance is the primary (1 for primary, 0 otherwise),0,patroni,,
patroni.quorum_standby,gauge,,,,Indicates whether the instance is a quorum standby (1 for active, 0 otherwise),0,patroni,,
patroni.replica,gauge,,,,Indicates whether the instance is a replica (1 for replica, 0 otherwise),0,patroni,,
patroni.standby_leader,gauge,,,,Indicates whether the instance is the standby leader (1 for standby leader, 0 otherwise),0,patroni,,
patroni.sync_standby,gauge,,,,Indicates whether the instance is a synchronous standby (1 for active, 0 otherwise),0,patroni,,
patroni.version,gauge,,,,Version of Patroni running (numeric representation, e.g., 40002 for version 4.0.2),0,patroni,,
patroni.xlog.paused,gauge,,,,Indicates whether xlog replay is paused (1 for paused, 0 for active),0,patroni,,
patroni.xlog.replayed_timestamp,gauge,,,,Timestamp of the last replayed xlog,0,patroni,,
