metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
skysql.mariadb_galera_status_info,gauge,,,,Information about the Galera cluster status,,mariadb_skysql,,,
skysql.mariadb_global_status_aborted_clients,gauge,,,,Number of connections aborted because the client died without closing the connection properly,,mariadb_skysql,,,
skysql.mariadb_global_status_aborted_connects,gauge,,,,Number of failed connection attempts,,mariadb_skysql,,,
skysql.mariadb_global_status_buffer_pool_pages,gauge,,,,Number of pages in the InnoDB buffer pool,,mariadb_skysql,,,
skysql.mariadb_global_status_bytes_received,gauge,,,,Total number of bytes received from all clients,,mariadb_skysql,,,
skysql.mariadb_global_status_bytes_sent,gauge,,,,Total number of bytes sent to all clients,,mariadb_skysql,,,
skysql.mariadb_global_status_commands,gauge,,,,Total number of executed commands,,mariadb_skysql,,,
skysql.mariadb_global_status_created_tmp_disk_tables,gauge,,,,Number of temporary tables on disk created during statements execution,,mariadb_skysql,,,
skysql.mariadb_global_status_created_tmp_files,gauge,,,,Number of temporary files created by the server,,mariadb_skysql,,,
skysql.mariadb_global_status_created_tmp_tables,gauge,,,,Number of in-memory temporary tables created,,mariadb_skysql,,,
skysql.mariadb_global_status_handlers,gauge,,,,Counters for various types of handlers (read, write, delete, etc.),,mariadb_skysql,,,
skysql.mariadb_global_status_innodb_data_read,gauge,,,,Bytes read from InnoDB data files,,mariadb_skysql,,,
skysql.mariadb_global_status_innodb_data_written,gauge,,,,Bytes written to InnoDB data files,,mariadb_skysql,,,
skysql.mariadb_global_status_innodb_num_open_files,gauge,,,,Number of open files in InnoDB,,mariadb_skysql,,,
skysql.mariadb_global_status_innodb_page_size,gauge,,,,Size of an InnoDB data page,,mariadb_skysql,,,
skysql.mariadb_global_status_open_files,gauge,,,,Number of open files,,mariadb_skysql,,,
skysql.mariadb_global_status_open_table_definitions,gauge,,,,Number of table definitions that are cached,,mariadb_skysql,,,
skysql.mariadb_global_status_open_tables,gauge,,,,Number of open tables,,mariadb_skysql,,,
skysql.mariadb_global_status_opened_files,gauge,,,,Number of files that have been opened,,mariadb_skysql,,,
skysql.mariadb_global_status_opened_table_definitions,gauge,,,,Number of table definitions that have been opened,,mariadb_skysql,,,
skysql.mariadb_global_status_opened_tables,gauge,,,,Number of tables that have been opened,,mariadb_skysql,,,
skysql.mariadb_global_status_queries,gauge,,,,Number of statements executed, including those in stored procedures,,mariadb_skysql,,,
skysql.mariadb_global_status_questions,gauge,,,,Number of queries received from clients,,mariadb_skysql,,,
skysql.mariadb_global_status_rows_read,gauge,,,,Number of rows read from tables,,mariadb_skysql,,,
skysql.mariadb_global_status_rows_sent,gauge,,,,Number of rows sent to clients,,mariadb_skysql,,,
skysql.mariadb_global_status_select_full_join,gauge,,,,Number of joins that performed table scans,,mariadb_skysql,,,
skysql.mariadb_global_status_select_full_range_join,gauge,,,,Number of joins that used a range search on a reference table,,mariadb_skysql,,,
skysql.mariadb_global_status_select_range,gauge,,,,Number of joins that used ranges on the first table,,mariadb_skysql,,,
skysql.mariadb_global_status_select_range_check,gauge,,,,Number of joins without keys where a key could be used if the join were re-executed,,mariadb_skysql,,,
skysql.mariadb_global_status_select_scan,gauge,,,,Number of joins that performed a full scan of the first table,,mariadb_skysql,,,
skysql.mariadb_global_status_replica_running,gauge,,,,Status indicating if the replica SQL thread is running,,mariadb_skysql,,,
skysql.mariadb_global_status_slow_queries,gauge,,,,Number of queries that took longer than the value of the long_query_time variable,,mariadb_skysql,,,
skysql.mariadb_global_status_sort_merge_passes,gauge,,,,Number of merge passes the sort algorithm has had to perform,,mariadb_skysql,,,
skysql.mariadb_global_status_sort_range,gauge,,,,Number of sorts that were done using ranges,,mariadb_skysql,,,
skysql.mariadb_global_status_sort_rows,gauge,,,,Number of sorted rows,,mariadb_skysql,,,
skysql.mariadb_global_status_sort_scan,gauge,,,,Number of sorts that were done by scanning the table,,mariadb_skysql,,,
skysql.mariadb_global_status_table_locks_immediate,gauge,,,,Number of times a table lock was acquired immediately,,mariadb_skysql,,,
skysql.mariadb_global_status_table_locks_waited,gauge,,,,Number of times a table lock could not be acquired immediately and a wait was needed,,mariadb_skysql,,,
skysql.mariadb_global_status_table_open_cache_hits,gauge,,,,Number of hits for open tables cache,,mariadb_skysql,,,
skysql.mariadb_global_status_table_open_cache_misses,gauge,,,,Number of misses for open tables cache,,mariadb_skysql,,,
skysql.mariadb_global_status_table_open_cache_overflows,gauge,,,,Number of overflows for the open tables cache,,mariadb_skysql,,,
skysql.mariadb_global_status_threads_cached,gauge,,,,Number of threads in the thread cache,,mariadb_skysql,,,
skysql.mariadb_global_status_threads_connected,gauge,,,,Number of currently open connections,,mariadb_skysql,,,
skysql.mariadb_global_status_threads_created,gauge,,,,Number of threads created to handle connections,,mariadb_skysql,,,
skysql.mariadb_global_status_threads_running,gauge,,,,Number of threads that are not sleeping,,mariadb_skysql,,,
skysql.mariadb_global_status_uptime,gauge,,,,Time in seconds that the server has been up,,mariadb_skysql,,,
skysql.mariadb_global_status_wsrep_cert_deps_distance,gauge,,,,Average distance between the lowest and highest seqno value for the writesets,,mariadb_skysql,,,
skysql.mariadb_global_status_wsrep_cluster_conf_id,gauge,,,,Configuration ID of the cluster,,mariadb_skysql,,,
skysql.mariadb_global_status_wsrep_cluster_size,gauge,,,,Number of nodes in the cluster,,mariadb_skysql,,,
skysql.mariadb_global_status_wsrep_cluster_status,gauge,,,,Status of the cluster (Primary/Non-Primary),,mariadb_skysql,,,
skysql.mariadb_global_status_wsrep_connected,gauge,,,,Whether the node is connected to the cluster,,mariadb_skysql,,,
skysql.mariadb_global_status_wsrep_flow_control_paused,gauge,,,,Fraction of time since the last FLUSH STATUS command that replication was paused due to flow control,,mariadb_skysql,,,
skysql.mariadb_global_status_wsrep_last_committed,gauge,,,,Last committed transaction,,mariadb_skysql,,,
skysql.mariadb_global_status_wsrep_local_recv_queue,gauge,,,,Local received queue size,,mariadb_skysql,,,
skysql.mariadb_global_status_wsrep_local_recv_queue_avg,gauge,,,,Average size of the local received queue since last status query,,mariadb_skysql,,,
skysql.mariadb_global_status_wsrep_local_recv_queue_max,gauge,,,,Maximum size the local received queue has had since last status query,,mariadb_skysql,,,
skysql.mariadb_global_status_wsrep_local_recv_queue_min,gauge,,,,Minimum size the local received queue has had since last status query,,mariadb_skysql,,,
skysql.mariadb_global_status_wsrep_local_send_queue,gauge,,,,Local send queue size,,mariadb_skysql,,,
skysql.mariadb_global_status_wsrep_local_send_queue_avg,gauge,,,,Average size of the local send queue since last status query,,mariadb_skysql,,,
skysql.mariadb_global_status_wsrep_local_send_queue_max,gauge,,,,Maximum size the local send queue has had since last status query,,mariadb_skysql,,,
skysql.mariadb_global_status_wsrep_local_send_queue_min,gauge,,,,Minimum size the local send queue has had since last status query,,mariadb_skysql,,,
skysql.mariadb_global_status_wsrep_local_state,gauge,,,,Internal Galera Cluster FSM state of the node,,mariadb_skysql,,,
skysql.mariadb_global_status_wsrep_ready,gauge,,,,Whether the node can accept queries that modify data,,mariadb_skysql,,,
skysql.mariadb_global_status_wsrep_replicated,gauge,,,,Number of write sets this node has created,,mariadb_skysql,,,
skysql.mariadb_global_status_wsrep_replicated_bytes,gauge,,,,Number of bytes replicated to this node,,mariadb_skysql,,,
skysql.mariadb_global_variables_gtid_current_pos,gauge,,,,Current GTID position,,mariadb_skysql,,,
skysql.mariadb_global_variables_gtid_domain_id,gauge,,,,GTID domain identifier,,mariadb_skysql,,,
skysql.mariadb_global_variables_gtid_ignore_duplicates,gauge,,,,Whether to ignore duplicate GTID transactions,,mariadb_skysql,,,
skysql.mariadb_global_variables_gtid_strict_mode,gauge,,,,Whether GTID strict mode is enabled,,mariadb_skysql,,,
skysql.mariadb_global_variables_innodb_autoextend_increment,gauge,,,,Auto-extension increment of extents in megabytes,,mariadb_skysql,,,
skysql.mariadb_global_variables_innodb_buffer_pool_chunk_size,gauge,,,,Size in bytes of a memory chunk for the InnoDB buffer pool,,mariadb_skysql,,,
skysql.mariadb_global_variables_innodb_buffer_pool_dump_pct,gauge,,,,Percentage of most-recently-used pages in each buffer pool to be dumped,,mariadb_skysql,,,
skysql.mariadb_global_variables_innodb_buffer_pool_filename,gauge,,,,File to which the buffer pool will be dumped or from which it will be loaded,,mariadb_skysql,,,
skysql.mariadb_global_variables_innodb_buffer_pool_instances,gauge,,,,Number of InnoDB buffer pool instances,,mariadb_skysql,,,
skysql.mariadb_global_variables_innodb_buffer_pool_size,gauge,,,,Size in bytes of the InnoDB buffer pool,,mariadb_skysql,,,
skysql.mariadb_global_variables_innodb_change_buffer_max_size,gauge,,,,Maximum size for the InnoDB change buffer as a percentage of the buffer pool,,mariadb_skysql,,,
skysql.mariadb_global_variables_innodb_file_per_table,gauge,,,,Whether to store each InnoDB table in its own .ibd file,,mariadb_skysql,,,
skysql.mariadb_global_variables_innodb_flush_method,gauge,,,,Method used to flush data,,mariadb_skysql,,,
skysql.mariadb_global_variables_innodb_io_capacity_max,gauge,,,,Maximum background I/O capacity in IOPS for InnoDB,,mariadb_skysql,,,
skysql.mariadb_global_variables_innodb_max_dirty_pages_pct_lwm,gauge,,,,Low water mark representing percentage of dirty pages at which flushing kicks in,,mariadb_skysql,,,
skysql.mariadb_global_variables_innodb_page_cleaners,gauge,,,,Number of background page cleaner threads,,mariadb_skysql,,,
skysql.mariadb_global_variables_innodb_purge_threads,gauge,,,,Number of InnoDB purge threads,,mariadb_skysql,,,
skysql.mariadb_global_variables_innodb_read_io_threads,gauge,,,,Number of background I/O threads for read operations in InnoDB,,mariadb_skysql,,,
skysql.mariadb_global_variables_innodb_write_io_threads,gauge,,,,Number of background I/O threads for write operations in InnoDB,,mariadb_skysql,,,
skysql.mariadb_global_variables_join_buffer_size,gauge,,,,Size of the buffer used for index scans,,mariadb_skysql,,,
skysql.mariadb_global_variables_max_allowed_packet,gauge,,,,Maximum packet length to send and receive from the server,,mariadb_skysql,,,
skysql.mariadb_global_variables_max_connections,gauge,,,,Maximum permitted number of simultaneous client connections,,mariadb_skysql,,,
skysql.mariadb_global_variables_max_prepared_stmt_count,gauge,,,,Maximum number of prepared statements in the server,,mariadb_skysql,,,
skysql.mariadb_global_variables_query_cache_size,gauge,,,,Size of the query cache,,mariadb_skysql,,,
skysql.mariadb_global_variables_query_cache_type,gauge,,,,Type of query cache,,mariadb_skysql,,,
skysql.mariadb_global_variables_slave_parallel_mode,gauge,,,,Parallel replication mode on the slave,,mariadb_skysql,,,
skysql.mariadb_global_variables_sync_binlog,gauge,,,,Synchronize the binary log to disk after every #th event,,mariadb_skysql,,,
skysql.mariadb_global_variables_tmp_table_size,gauge,,,,Maximum size for internal temporary tables in memory,,mariadb_skysql,,,
skysql.mariadb_replica_status_auto_position,gauge,,,,Whether the replica is configured for GTID-based auto-positioning,,mariadb_skysql,,,
skysql.mariadb_replica_status_heartbeat,gauge,,,,Interval in seconds between replication heartbeats,,mariadb_skysql,,,
skysql.mariadb_replica_status_io_thread,gauge,,,,Status of the replica I/O thread,,mariadb_skysql,,,
skysql.mariadb_replica_status_last_errno,gauge,,,,Last error number,,mariadb_skysql,,,
skysql.mariadb_replica_status_last_error_message,gauge,,,,Last error message,,mariadb_skysql,,,
skysql.mariadb_replica_status_master_host,gauge,,,,The master host for this replica,,mariadb_skysql,,,
skysql.mariadb_replica_status_master_port,gauge,,,,The master port for this replica,,mariadb_skysql,,,
skysql.mariadb_replica_status_master_uuid,gauge,,,,The UUID of the master server,,mariadb_skysql,,,
skysql.mariadb_replica_status_relay_log_space,gauge,,,,Disk space used by the relay log,,mariadb_skysql,,,
skysql.mariadb_replica_status_seconds_behind_primary,gauge,,,,Time lag in seconds between the master and the replica,,mariadb_skysql,,,
skysql.mariadb_replica_status_sql_thread,gauge,,,,Status of the replica SQL thread,,mariadb_skysql,,,
skysql.mariadb_security_context_switch_user_invalid,gauge,,,,Number of failed context switches,,mariadb_skysql,,,
skysql.mariadb_security_external_user,gauge,,,,The external system user mapped to the MariaDB user,,mariadb_skysql,,,
skysql.mariadb_security_failed_auth_attempts,gauge,,,,Number of failed authentication attempts,,mariadb_skysql,,,
skysql.mariadb_security_invalid_user_name_characters,gauge,,,,Invalid characters in a MariaDB username,,mariadb_skysql,,,
skysql.mariadb_security_privileged_user_auth_audit,gauge,,,,Audit of privileged user authentications,,mariadb_skysql,,,
skysql.mariadb_security_proxy_user,gauge,,,,The MariaDB user for whom the external user is proxying,,mariadb_skysql,,,
skysql.mariadb_security_successful_auth_attempts,gauge,,,,Number of successful authentication attempts,,mariadb_skysql,,,
skysql.mariadb_security_users_without_passwords,gauge,,,,Number of users without passwords,,mariadb_skysql,,,
skysql.mariadb_xpand_activity_core0,gauge,,,,Activity level of core0 in the MariaDB Xpand cluster,,mariadb_skysql,,,
skysql.mariadb_xpand_activity_core1,gauge,,,,Activity level of core1 in the MariaDB Xpand cluster,,mariadb_skysql,,,
skysql.mariadb_xpand_capacity_disk_system_avail_bytes,gauge,,,,Available bytes on the disk system,,mariadb_skysql,,,
skysql.mariadb_xpand_capacity_disk_system_total_bytes,gauge,,,,Total bytes on the disk system,,mariadb_skysql,,,
skysql.mariadb_xpand_capacity_disk_system_used_bytes,gauge,,,,Used bytes on the disk system,,mariadb_skysql,,,
skysql.maxscale_server_connections,gauge,,,,Number of current connections to this server,,mariadb_skysql,,,
skysql.maxscale_server_max_pool_size,gauge,,,,Maximum connection pool size for this server,,mariadb_skysql,,,
skysql.maxscale_server_routed_packets,gauge,,,,Number of packets routed to this server,,mariadb_skysql,,,
skysql.maxscale_server_total_connections,gauge,,,,Total number of connections to this server since start,,mariadb_skysql,,,
skysql.maxscale_service_connections,gauge,,,,Number of current connections to this service,,mariadb_skysql,,,
skysql.maxscale_service_router_sessions,gauge,,,,Number of router sessions for this service,,mariadb_skysql,,,
skysql.maxscale_threads_count,gauge,,,,Number of worker threads in MaxScale,,mariadb_skysql,,,
skysql.maxscale_operations_completed,gauge,,,,Number of operations completed in MaxScale,,mariadb_skysql,,,
skysql.mariadb_up,gauge,,,,MariaDB status: 1 - operational 0 - not operational,,mariadb_skysql,,,
skysql.mariadb_server_status,gauge,,,,Server status: 1-OK; 2-Warning; 3-Critical; 4-Starting; 5-Stopping; 9-Unknown,,mariadb_skysql,,,
skysql.mariadb_service_status,gauge,,,,Service status: 1-OK; 2-Warning; 3-Critical; 4-Starting; 5-Stopping; 6-Stopped; 7-ScalingUp; 8-ScalingDown; 9-Unknown,,mariadb_skysql,,,
